player_name,state,from_california
Anthony Riggins,CA,yes
Daniel Fusi,CA,yes
Donnell Vercher,CA,yes
Anthony Buffini,CA,yes
Darryl Cash,CA,yes
Candon Canady,CA,yes
Rodney Mathews,CA,yes
David Coley,CA,yes
Nick Fernandez,CA,yes
Dame Ndiaye,CA,yes
Davond Dade,CA,yes
Donavon Lewis,CA,yes
DeAndre Carter,CA,yes
Dijon Washington,CA,yes
Demetrius Warren,CA,yes
Ron Davis,CA,yes
Dalton Hunkle,CA,yes
Jihad Vercher,CA,yes
Joshua Armstrong,CA,yes
Ezekiel Graham,CA,yes
De'Jon Coleman,CA,yes
Austin Dotson,CA,yes
Joey DePalma,CA,yes
Garrett Safron,CA,yes
Morris Norrise,CA,yes
Marcus McDade,CA,yes
Nick Finney,CA,yes
Shane Harrison,CA,yes
Daniel Kniffin,CA,yes
Ofa Fifita,CA,yes
Jesse Aguilar,CA,yes
JB Blackwell,CA,yes
Nicholas Payne,CA,yes
Charles Washington,CA,yes
Kyrian Obidiegwu,CA,yes
Randy Peterson,CA,yes
Anthony Payne,CA,yes
Jordan Robinson,CA,yes
Russell Smith,CA,yes
Dexter Alcala,CA,yes
Robert Beale,CA,yes
DaMario Robertson,CA,yes
Kyle Finney,CA,yes
Markell Williams,CA,yes
Tyrone Duckett,CA,yes
Nick Crouch,CA,yes
Marcus Green,CA,yes
Colby Weist,CA,yes
Jaycee Totty,CA,yes
Devin Hardy,CA,yes
Tyler Charrette,CA,yes
Cedric Franklin,CA,yes
Jacob Bowman,CA,yes
Brandon Kellermann,CA,yes
Stone Sander,CA,yes
Josh Latham,CA,yes
Darnell Sankey,CA,yes
Justin Weldon,CA,yes
Aman Jaigat,CA,yes
DJ Maciel,CA,yes
Henry Fernandez,CA,yes
Alan Alvaro,CA,yes
Tim Hayes,CA,yes
Patrick Su'a,CA,yes
Taka Umufuke,CA,yes
Zach Clouse,CA,yes
Todd Davis,CA,yes
Cole Hannum,CA,yes
Max Mathews,CA,yes
Ronald Ussery,CA,yes
Smith Heath,CA,yes
Brad Cornish,CA,yes
Sam Awrabi,CA,yes
David Villanueva,CA,yes
Tim Hernandez,CA,yes
Pailake Aiono,CA,yes
Rajaee Jordan,CA,yes
Jonathan Bade,CA,yes
Casey Dakin,CA,yes
Pu'e Togia,CA,yes
Andrew Admire,CA,yes
Tyler Worthley,CA,yes
Derek Stickney,CA,yes
Adam Murray,CA,yes
Lars Hanson,CA,yes
Kyle Evanski,CA,yes
Josh Winters,CA,yes
Collin Keoshian,CA,yes
Dan Stornaiuolo,CA,yes
Chris Broadnax,CA,yes
Marshaun Coprich,CA,yes
Blake Robertson,CA,yes
Aaron Maher,CA,yes
Kyle Greenwood,CA,yes
Cole Hikutini,CA,yes
Nnamdi Agude,CA,yes
Justin Cox,CA,yes
Ejiro Ederaine,CA,yes
Marcus Mosi,CA,yes
Ben Cowger,CA,yes
Nick Mazza,CA,yes
Jeremiah Toma,CA,yes
Noah Johnson,CA,yes
Trent Eskew,CA,yes
Nehemiah Mitchell,CA,yes
Jordan Vinson,CA,yes
Nathan Castro,CA,yes
Ben Sorensen,CA,yes
JJ Castillo,CA,yes
Ricky Carroll,CA,yes
Geoff Swaim,CA,yes
Carl Coleman,CA,yes
T.J. Fenton,CA,yes
Justin Holmes,CA,yes
Jonathan Norton,CA,yes
Blake Dunn,CA,yes
Tyree Mills,CA,yes
Henry Lorenzen,CA,yes
Justin Martin,CA,yes
Jordan Brown,CA,yes
Brandon Hughes,CA,yes
Chad Hansen,CA,yes
Sam Campbell,CA,yes
Richie Harrington,CA,yes
Jeff Camilli,CA,yes
Brock Miller,CA,yes
Mike Evans,CA,yes
Aaron Cantu,CA,yes
Will Pretty,CA,yes
Anthony Fagans,CA,yes
Karl Mickelsen,CA,yes
Joe St. Germain,CA,yes
Jaamal Rose,CA,yes
Tommy Collet Jr.,CA,yes
Riley Barnes,CA,yes
Cole Mazza,CA,yes
Myles Carelock,CA,yes
Kade Hess,CA,yes
Albert Perez,CA,yes
Anthony Dickinson,CA,yes
Sam Hardy,CA,yes
Kyle Stevens,CA,yes
Garrett Swanson,CA,yes
Temerick Harper,CA,yes
Stephen Van Hook,CA,yes
Isaac Luatua,CA,yes
Nikko Motta,CA,yes
Raysean Martin,CA,yes
Mike Saenz,CA,yes
Cedric Thompson,CA,yes
Gage Beekman,CA,yes
Justin Northern,CA,yes
Reggie Bell,CA,yes
Lars Bramer,CA,yes
Adam DeCosta,CA,yes
Suli Faletuipapai,CA,yes
Dylan Detwiler,CA,yes
Antwan Marshal,CA,yes
Bo Bonnheim,CA,yes
James Funk,CA,yes
Josh Tremblay,CA,yes
Walker Madden,CA,yes
Gave Valov,CA,yes
Allen Brown,CA,yes
Connor Rains,CA,yes
Travis Reyes,CA,yes
Chris Gudmunson,CA,yes
Alan Gonzales,CA,yes
Clay Guess,CA,yes
J.D. Krill,CA,yes
Justin Berger,CA,yes
Daron Griffin,CA,yes
Tony Sarrocco,CA,yes
Brett Nelson,CA,yes
Cory McDonald,CA,yes
Jake Maulhardt,CA,yes
Sean Dowling,CA,yes
Matt Adam,CA,yes
Kyani Harris,CA,yes
Austin Wentworth,CA,yes
Cody Wichmann,CA,yes
Josh Anderson,CA,yes
Kyle Donaldson,CA,yes
T.J. Tuuu,CA,yes
Chris Robinson,CA,yes
Cory Fisher,CA,yes
Sean Rubalcava,CA,yes
Alex Fifita,CA,yes
Ryan Brockway,CA,yes
Maurice Poyadue,CA,yes
David Patterson,CA,yes
Troy Boyland,CA,yes
Matt Barr,CA,yes
Adam Kinder,CA,yes
Justin Johnson,CA,yes
Darrell Fuery,CA,yes
Delvon Hardaway,CA,yes
Ryan Moore,CA,yes
Joe Ellis,CA,yes
Dillon van der Wal,CA,yes
Dre Allen,CA,yes
Charles Boyett,CA,yes
Titus Garrett,CA,yes
Nick Cody,CA,yes
Aarynn Jones,CA,yes
Tom Hemmingsen,CA,yes
Keleen Culberson,CA,yes
Luke Williams,CA,yes
Alex Cannon,CA,yes
Colin Kelly,CA,yes
Jabari Howard,CA,yes
Chris Martin,CA,yes
Manusamoa Luuga,CA,yes
Jimmy Laughrea,CA,yes
Jonathan Perkins,CA,yes
Garrett Bogart,CA,yes
Ben Scott,CA,yes
London Lacy,CA,yes
Ryan O'Holleran,CA,yes
Connor Toohey,CA,yes
Tavior Mowry,CA,yes
Randy Wright,CA,yes
Nick King,CA,yes
Russell Jones,CA,yes
Mitchell Sheppard,CA,yes
Shamawn Wright,CA,yes
Colton Silveria,CA,yes
Kenny Brookins,CA,yes
Aaron Jelovic,CA,yes
Clyde Ignont,CA,yes
Nikko Trinidad,CA,yes
Courtney Williams,CA,yes
Dane Turner,CA,yes
Garth Keffer,CA,yes
Darryl Graham,CA,yes
Earnest Sayles III,CA,yes
Jonathan Maricic,CA,yes
Patrick Wells,CA,yes
Ryan Dimino,CA,yes
Casey Jennings,CA,yes
Nate Walker,CA,yes
Marcus White,CA,yes
Steven Pitts,CA,yes
Desmond Lewis,CA,yes
Justin Williams,CA,yes
Jonathan Bias,CA,yes
Artice Nelson,CA,yes
Braxton Shirley,CA,yes
Joey Waters,CA,yes
Brady Stuart,CA,yes
Quinn Harris,CA,yes
Gabe Manzanares,CA,yes
Derek Baljeu,CA,yes
Mike Cullen,CA,yes
Atlas Smith,CA,yes
Nehemiah Winston,CA,yes
Dalton Turay,CA,yes
Zach Boman,CA,yes
Erik Holmer,CA,yes
Kevin Anderson,CA,yes
Walter Earnest,CA,yes
Jay Luchetti,CA,yes
Brady Stibi,CA,yes
Russell Reeder,CA,yes
Ryan Bua,CA,yes
Kyle DeVaughn,CA,yes
Ryan Lefotu,CA,yes
Derek Babiash,CA,yes
Anthony Saenz,CA,yes
Kyle Sulka,CA,yes
Jimmy Mahoney,CA,yes
Donnell Toliver,CA,yes
Zach Perron,CA,yes
Joey Lagarbo,CA,yes
Dakota Dosch,CA,yes
Julian Bertero,CA,yes
Andrew Carriger,CA,yes
Armando Ceja-Lua,CA,yes
Chris Schneider,CA,yes
Kevin Gavigan,CA,yes
Alex Hanes,CA,yes
Jess Ayala,CA,yes
Inoke Raikadroka,CA,yes
Andrew Hunter,CA,yes
Ian Joseph,CA,yes
Ariel Arguello,CA,yes
Parker Smith,CA,yes
Jimmy Kunkel,CA,yes
Tj King,CA,yes
Ramon Vargas,CA,yes
Delvin Alexander,CA,yes
Corey Galindo,CA,yes
Albert Miranda,CA,yes
Cameron Sentance,CA,yes
Taylor Sloat,CA,yes
Mark Martindale,CA,yes
Tim Benton,CA,yes
